epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.82,4.33006,4.78739,2.34434,0,0,0,0,3.71385,4.59714,1.77342,0,0,0
2,371.023,4.75317,4.77283,2.58129,0,0,0,0,3.64066,4.43703,1.78132,1.23763e-05,1.23763e-05,1.23763e-05
3,557.71,4.88487,4.60518,2.2827,0.00049,0.00781,0.00026,5e-05,3.42294,4.09031,1.66189,2.4505e-05,2.4505e-05,2.4505e-05
4,727.199,3.84279,3.86028,1.83905,0.05042,0.48808,0.15459,0.05248,2.40178,2.93932,1.36314,3.63862e-05,3.63862e-05,3.63862e-05
5,909.025,2.9123,2.828,1.35289,0.10282,0.59622,0.16943,0.05391,2.18616,2.61784,1.25317,4.802e-05,4.802e-05,4.802e-05
6,1099.34,2.55999,2.10667,1.33377,0.1645,0.33204,0.11873,0.03602,2.59499,16.0472,1.55629,5.94062e-05,5.94062e-05,5.94062e-05
7,1235.7,2.03143,2.48406,1.2214,0.12983,0.37802,0.10886,0.04174,2.66337,4.17136,1.5959,7.0545e-05,7.0545e-05,7.0545e-05
8,1370.49,2.12529,1.9799,1.13922,0.28806,0.40913,0.30956,0.13259,2.35893,2.59565,1.25912,8.14362e-05,8.14362e-05,8.14362e-05
9,1581.35,1.94586,1.8813,1.05192,0.52939,0.52182,0.5525,0.24156,2.01893,3.07862,1.07185,9.208e-05,9.208e-05,9.208e-05
10,1764.09,1.68981,1.67042,1.07788,0.52114,0.68627,0.68457,0.36175,1.62159,4.51873,1.01653,0.000102476,0.000102476,0.000102476
11,1950.57,1.58404,1.45918,0.98921,0.54513,0.58074,0.6038,0.33133,1.64654,3.75768,1.10196,0.000112625,0.000112625,0.000112625
12,2140.14,1.74449,1.32742,0.99572,0.53295,0.5625,0.48533,0.24287,1.76532,4.70168,1.11207,0.000122526,0.000122526,0.000122526
13,2325.99,1.95959,1.47209,1.00031,0.44199,0.62377,0.41634,0.18724,1.78698,4.96648,1.08446,0.00013218,0.00013218,0.00013218
14,2472,1.68596,1.67097,1.04223,0.28913,0.26768,0.26567,0.10971,1.80239,6.22115,1.05118,0.000141586,0.000141586,0.000141586
15,2622.1,1.70958,1.3971,1.08544,0.66385,0.59944,0.66924,0.30453,1.71801,3.54824,1.03699,0.000150745,0.000150745,0.000150745
16,2773.75,1.58502,1.53438,1.016,0.438,0.67382,0.63484,0.31391,1.64063,9.15539,1.05793,0.000159656,0.000159656,0.000159656
17,2923.68,1.52568,1.21631,0.9894,0.45763,0.79127,0.60906,0.32347,1.56805,9.38394,1.03279,0.00016832,0.00016832,0.00016832
18,3060.86,1.82718,1.27427,1.05048,0.45763,0.79127,0.60906,0.32347,1.56805,9.38394,1.03279,0.000176736,0.000176736,0.000176736
19,3259.08,1.53593,1.02494,0.97312,0.57433,0.61801,0.52515,0.3143,1.47114,5.68814,0.9809,0.000184905,0.000184905,0.000184905
20,3402.25,1.39231,1.45529,0.99557,0.55394,0.68725,0.56267,0.33223,1.47114,5.68814,0.9809,0.000192826,0.000192826,0.000192826
21,3584.15,1.54727,1.24947,0.98269,0.46122,0.58018,0.47021,0.28645,1.42941,16.6929,0.98825,0.0002005,0.0002005,0.0002005
22,3781.02,1.6784,1.30025,0.97947,0.46122,0.58018,0.47021,0.28645,1.42941,16.6929,0.98825,0.000207926,0.000207926,0.000207926
23,3963.1,1.9151,1.48021,1.01994,0.3759,0.49603,0.33806,0.18567,1.59047,29.3294,1.06076,0.000215105,0.000215105,0.000215105
24,4103.29,1.46785,1.08017,0.93428,0.41669,0.3888,0.38743,0.22284,1.59047,29.3294,1.06076,0.000222036,0.000222036,0.000222036
25,4292.87,1.5767,1.04439,0.9541,0.00105,0.02344,0.00058,0.00036,1.71978,136.99,1.1133,0.00022872,0.00022872,0.00022872
26,4434.04,1.38182,1.01369,0.93952,0.00105,0.02344,0.00058,0.00036,1.71978,136.99,1.1133,0.000235156,0.000235156,0.000235156
27,4613.24,1.45528,1.09843,0.93534,0,0,0,0,1.68559,310.6,1.12102,0.000241345,0.000241345,0.000241345
28,4751.44,1.4434,0.9942,0.91997,0,0,0,0,1.68559,310.6,1.12102,0.000247286,0.000247286,0.000247286
29,4908.33,1.2832,0.96387,0.9213,0,0,0,0,1.67421,567.796,1.16796,0.00025298,0.00025298,0.00025298
30,5042.02,1.47703,1.39174,0.96842,0,0,0,0,1.67421,567.796,1.16796,0.000258426,0.000258426,0.000258426
31,5188.97,1.40021,1.04036,0.92146,0,0,0,0,1.69633,327.795,1.20789,0.000263625,0.000263625,0.000263625
32,5307.04,1.37442,0.93961,0.96516,0,0,0,0,1.69633,327.795,1.20789,0.000268576,0.000268576,0.000268576
33,5440.23,1.29713,0.94704,0.96613,0.00962,0.00781,0.00496,0.00248,1.71496,82.4267,1.18228,0.00027328,0.00027328,0.00027328
34,5561.56,1.31495,0.91212,0.93049,0.00962,0.00781,0.00496,0.00248,1.71496,82.4267,1.18228,0.000277736,0.000277736,0.000277736
35,5742.81,1.54645,1.01009,0.94122,0.00111,0.00781,0.00057,0.0004,1.85177,81.1084,1.20898,0.000281945,0.000281945,0.000281945
36,5864.81,1.27892,0.82019,0.92891,0.00111,0.00781,0.00057,0.0004,1.85177,81.1084,1.20898,0.000285906,0.000285906,0.000285906
37,6039.33,1.63427,1.04007,0.96083,0.01473,0.08594,0.00927,0.00585,1.71641,63.8902,1.12714,0.00028962,0.00028962,0.00028962
38,6177.4,1.27249,0.7869,0.92851,0.01473,0.08594,0.00927,0.00585,1.71641,63.8902,1.12714,0.000293086,0.000293086,0.000293086
39,6326.72,1.28536,0.81026,0.92926,0,0,0,0,1.65463,185.911,1.11269,0.000296305,0.000296305,0.000296305
40,6452.73,1.35703,0.88604,0.93515,0,0,0,0,1.65463,185.911,1.11269,0.000299276,0.000299276,0.000299276
41,6605.33,1.23136,0.76957,0.91073,0,0,0,0,1.49284,236.88,1.04538,0.000302,0.000302,0.000302
42,6733.73,1.36314,0.91877,0.9486,0,0,0,0,1.49284,236.88,1.04538,0.000304476,0.000304476,0.000304476
43,6867.22,1.29479,0.87037,0.88581,0,0,0,0,1.51151,133.916,1.03157,0.000306705,0.000306705,0.000306705
44,6989.56,1.32419,0.8078,0.93231,0,0,0,0,1.51151,133.916,1.03157,0.000308686,0.000308686,0.000308686
45,7144.34,1.43472,0.81259,0.91759,0,0,0,0,1.42412,133.301,0.98892,0.00031042,0.00031042,0.00031042
46,7273.9,1.47139,0.9112,0.88589,0,0,0,0,1.42412,133.301,0.98892,0.000311906,0.000311906,0.000311906
47,7418.9,1.53545,1.00475,0.94315,0,0,0,0,1.39807,82.4432,0.99376,0.000313145,0.000313145,0.000313145
48,7540.62,1.29076,0.87142,0.94795,0,0,0,0,1.39807,82.4432,0.99376,0.000314136,0.000314136,0.000314136
49,7686.13,1.43097,0.84414,0.97669,0.05381,0.15625,0.13643,0.07869,1.43956,33.6479,1.01048,0.00031488,0.00031488,0.00031488
50,7823.81,1.29772,0.84472,1.03047,0.05381,0.15625,0.13643,0.07869,1.43956,33.6479,1.01048,0.000315376,0.000315376,0.000315376
51,7954.98,1.17223,0.73886,0.94983,0.56208,0.39268,0.50413,0.29161,1.56446,17.4621,1.03222,0.000315625,0.000315625,0.000315625
52,8076.36,1.58836,0.90656,0.95415,0.56208,0.39268,0.50413,0.29161,1.56446,17.4621,1.03222,0.000315626,0.000315626,0.000315626
53,8211.25,1.21633,0.81139,0.94189,0.56208,0.39268,0.50413,0.29161,1.56446,17.4621,1.03222,0.00031538,0.00031538,0.00031538
54,8350.24,1.80368,1.05543,0.97396,0.42931,0.4668,0.47474,0.27722,1.53062,9.72003,1.06811,0.000314886,0.000314886,0.000314886
55,8471.75,1.35454,0.8207,0.98244,0.42931,0.4668,0.47474,0.27722,1.53062,9.72003,1.06811,0.000314145,0.000314145,0.000314145
56,8627.4,1.47334,0.95461,0.93157,0.42931,0.4668,0.47474,0.27722,1.53062,9.72003,1.06811,0.000313156,0.000313156,0.000313156
57,8772.72,1.42584,0.99862,0.95146,0.18437,0.09375,0.11523,0.08617,1.39473,29.6441,1.03052,0.00031192,0.00031192,0.00031192
58,8897.64,1.4259,0.95944,0.94539,0.21418,0.125,0.14308,0.10623,1.39473,29.6441,1.03052,0.000310436,0.000310436,0.000310436
59,9049.09,1.26798,0.78141,0.98308,0.21418,0.125,0.14308,0.10623,1.39473,29.6441,1.03052,0.000308705,0.000308705,0.000308705
60,9232.76,1.27077,0.71723,0.93641,0,0,0,0,1.37997,68.4367,1.01848,0.000306726,0.000306726,0.000306726
61,9361.58,1.25406,0.62124,0.94317,0,0,0,0,1.37997,68.4367,1.01848,0.0003045,0.0003045,0.0003045
62,9521.51,1.2001,0.75781,0.96083,0,0,0,0,1.37997,68.4367,1.01848,0.000302026,0.000302026,0.000302026
63,9704.52,1.2872,0.83525,0.91104,0,0,0,0,1.41565,46.2127,0.99717,0.000299305,0.000299305,0.000299305
64,9832.4,1.25012,0.70633,0.92543,0,0,0,0,1.41565,46.2127,0.99717,0.000296336,0.000296336,0.000296336
65,9967.41,1.28732,0.76431,0.89064,0,0,0,0,1.41565,46.2127,0.99717,0.00029312,0.00029312,0.00029312
66,10120.6,1.22952,0.71442,0.89771,0.28428,0.58882,0.23334,0.14517,1.45099,9.50318,0.98506,0.000289656,0.000289656,0.000289656
67,10243.1,1.09376,0.66352,0.90243,0.28428,0.58882,0.23334,0.14517,1.45099,9.50318,0.98506,0.000285945,0.000285945,0.000285945
68,10381,1.18186,0.68536,0.93036,0.28428,0.58882,0.23334,0.14517,1.45099,9.50318,0.98506,0.000281986,0.000281986,0.000281986
69,10524.8,1.18327,0.70336,0.91505,0.82911,0.92966,0.85709,0.49251,1.42705,1.2603,0.97184,0.00027778,0.00027778,0.00027778
70,10652.5,1.31293,0.77124,0.92325,0.82911,0.92966,0.85709,0.49251,1.42705,1.2603,0.97184,0.000273326,0.000273326,0.000273326
71,10798.2,1.15096,0.66308,0.898,0.82911,0.92966,0.85709,0.49251,1.42705,1.2603,0.97184,0.000268625,0.000268625,0.000268625
72,10947.5,1.1801,0.62672,0.93541,0.89379,0.9465,0.91502,0.51346,1.41185,1.00713,0.9617,0.000263676,0.000263676,0.000263676
73,11072.5,1.23292,0.70993,0.91898,0.89379,0.9465,0.91502,0.51346,1.41185,1.00713,0.9617,0.00025848,0.00025848,0.00025848
74,11225.9,1.21357,0.64815,0.87526,0.89379,0.9465,0.91502,0.51346,1.41185,1.00713,0.9617,0.000253036,0.000253036,0.000253036
75,11371,1.27846,0.78833,0.91959,0.80995,0.98197,0.86471,0.51137,1.42038,1.01446,0.95793,0.000247345,0.000247345,0.000247345
76,11489.1,1.31411,0.77809,0.88978,0.80995,0.98197,0.86471,0.51137,1.42038,1.01446,0.95793,0.000241406,0.000241406,0.000241406
77,11615.3,1.20745,0.81458,0.86733,0.80995,0.98197,0.86471,0.51137,1.42038,1.01446,0.95793,0.00023522,0.00023522,0.00023522
78,11747,1.09812,0.65903,0.92646,0.8155,0.99224,0.84728,0.50643,1.45662,1.24663,0.95757,0.000228786,0.000228786,0.000228786
79,11869,1.12761,0.61696,0.90195,0.8155,0.99224,0.84728,0.50643,1.45662,1.24663,0.95757,0.000222105,0.000222105,0.000222105
80,12000.3,1.26212,0.694,0.89894,0.8155,0.99224,0.84728,0.50643,1.45662,1.24663,0.95757,0.000215176,0.000215176,0.000215176
81,12129.4,1.2535,0.68988,0.88979,0.83853,0.95612,0.85666,0.51266,1.43835,1.50224,0.95297,0.000208,0.000208,0.000208
82,12247.4,1.17347,0.68618,0.88992,0.83853,0.95612,0.85666,0.51266,1.43835,1.50224,0.95297,0.000200576,0.000200576,0.000200576
83,12401.2,1.29579,0.70168,0.88326,0.83853,0.95612,0.85666,0.51266,1.43835,1.50224,0.95297,0.000192905,0.000192905,0.000192905
84,12531.4,1.10334,0.65671,0.897,0.86318,0.94702,0.86472,0.51896,1.39736,1.53786,0.94475,0.000184986,0.000184986,0.000184986
85,12646.3,1.19387,0.63531,0.92956,0.86318,0.94702,0.86472,0.51896,1.39736,1.53786,0.94475,0.00017682,0.00017682,0.00017682
86,12767.6,1.26306,0.72841,0.93244,0.86318,0.94702,0.86472,0.51896,1.39736,1.53786,0.94475,0.000168406,0.000168406,0.000168406
87,12900.3,1.10244,0.6021,0.9156,0.86318,0.94702,0.86472,0.51896,1.39736,1.53786,0.94475,0.000159745,0.000159745,0.000159745
88,13022,1.22431,0.82117,0.92757,0.88658,0.94999,0.92572,0.56205,1.35463,1.03676,0.93684,0.000150836,0.000150836,0.000150836
89,13143.3,1.12818,0.63916,0.88951,0.88658,0.94999,0.92572,0.56205,1.35463,1.03676,0.93684,0.00014168,0.00014168,0.00014168
90,13299.9,1.04365,0.63021,0.89318,0.88658,0.94999,0.92572,0.56205,1.35463,1.03676,0.93684,0.000132276,0.000132276,0.000132276
91,13445.9,1.10132,0.5956,0.91162,0.88658,0.94999,0.92572,0.56205,1.35463,1.03676,0.93684,0.000122625,0.000122625,0.000122625
92,13579.8,1.01654,0.59345,0.89115,0.94892,0.97508,0.97946,0.592,1.35762,0.77887,0.93628,0.000112726,0.000112726,0.000112726
93,13700.9,1.05409,0.59316,0.89131,0.94892,0.97508,0.97946,0.592,1.35762,0.77887,0.93628,0.00010258,0.00010258,0.00010258
94,13870.5,1.18139,0.66208,0.93286,0.94892,0.97508,0.97946,0.592,1.35762,0.77887,0.93628,9.21862e-05,9.21862e-05,9.21862e-05
95,14015.7,1.13263,0.67073,0.88927,0.94892,0.97508,0.97946,0.592,1.35762,0.77887,0.93628,8.1545e-05,8.1545e-05,8.1545e-05
96,14137,1.22106,0.69893,0.92607,0.98773,0.96421,0.99286,0.59182,1.38386,0.71277,0.93913,7.06563e-05,7.06563e-05,7.06563e-05
97,14259.3,0.98307,0.54746,0.8785,0.98773,0.96421,0.99286,0.59182,1.38386,0.71277,0.93913,5.952e-05,5.952e-05,5.952e-05
98,14391.7,1.06455,0.56265,0.88816,0.98773,0.96421,0.99286,0.59182,1.38386,0.71277,0.93913,4.81363e-05,4.81363e-05,4.81363e-05
99,14540.9,1.10664,0.65153,0.9064,0.98773,0.96421,0.99286,0.59182,1.38386,0.71277,0.93913,3.6505e-05,3.6505e-05,3.6505e-05
100,14680.3,1.00995,0.58231,0.87819,0.99391,0.96468,0.99398,0.59583,1.38278,0.67302,0.93868,2.46263e-05,2.46263e-05,2.46263e-05
